lake,wl,Statistic,Value,Side,Variable
roc,488.0,mean,1.5805898238392742,c,c_488_mean
roc,510.0,mean,1.472778589418059,c,c_510_mean
roc,532.0,mean,1.3756580469758557,c,c_532_mean
roc,555.0,mean,1.2943382800015248,c,c_555_mean
roc,650.0,mean,1.0658464726597277,c,c_650_mean
roc,676.0,mean,1.020613661242269,c,c_676_mean
roc,715.0,mean,0.9570265777897408,c,c_715_mean
thi,412.0,mean,0.6656382399372598,c,c_412_mean
thi,440.0,mean,0.5388349490898889,c,c_440_mean
thi,488.0,mean,0.3859510387103597,c,c_488_mean
thi,510.0,mean,0.3243434493838402,c,c_510_mean
thi,532.0,mean,0.2624409395513068,c,c_532_mean
thi,555.0,mean,0.22157858385665466,c,c_555_mean
thi,650.0,mean,0.0917209628455904,c,c_650_mean
thi,676.0,mean,0.07786764648548061,c,c_676_mean
thi,715.0,mean,0.0402367721342376,c,c_715_mean
bea,412.0,std,0.02393144157343575,c,c_412_std
bea,440.0,std,0.02218609928717809,c,c_440_std
bea,488.0,std,0.020575909002506356,c,c_488_std
bea,510.0,std,0.02065256840696723,c,c_510_std
